rank, configurations,google pixel format, model format, energy_efficiency estimated
2457,020002-0-3,[0- 2- 0- 0- 0- 2- 0- 3],1-0-1-0-0-0-1-0-3,10801393741.607586
2458,020200-0-2,[0- 2- 0- 2- 0- 0- 0- 2],1-0-1-0-1-0-0-0-2,10798801309.857914
2459,020002-1-0,[0- 2- 0- 0- 0- 2- 1- 0],1-0-1-0-0-0-1-1-0,10798528365.71394
2460,010100-3-0,[0- 1- 0- 1- 0- 0- 3- 0],0-0-1-0-1-0-0-3-0,10792968323.526508
2461,100010-0-2,[1- 0- 0- 0- 1- 0- 0- 2],0-1-0-0-0-1-0-0-2,10790144769.83236
2462,220220-0-1,[2- 2- 0- 2- 2- 0- 0- 1],1-1-1-0-1-1-0-0-1,10780761922.176281
2463,030000-3-0,[0- 3- 0- 0- 0- 0- 3- 0],2-0-1-0-0-0-0-3-0,10779237638.876347
2464,100100-3-0,[1- 0- 0- 1- 0- 0- 3- 0],0-1-0-0-1-0-0-3-0,10772220774.064737
2465,010010-0-3,[0- 1- 0- 0- 1- 0- 0- 3],0-0-1-0-0-1-0-0-3,10769894742.463478
2466,010010-3-0,[0- 1- 0- 0- 1- 0- 3- 0],0-0-1-0-0-1-0-3-0,10765738574.177952
2467,300000-1-3,[3- 0- 0- 0- 0- 0- 1- 3],2-1-0-0-0-0-0-1-3,10756269581.714354
2468,303330-0-3,[3- 0- 3- 3- 3- 0- 0- 3],2-1-0-1-1-1-0-0-3,10754027710.19585
2469,003303-0-3,[0- 0- 3- 3- 0- 3- 0- 3],2-0-0-1-1-0-1-0-3,10751646314.55848
2470,202000-1-3,[2- 0- 2- 0- 0- 0- 1- 3],1-1-0-1-0-0-0-1-3,10750928323.712315
2471,000030-3-0,[0- 0- 0- 0- 3- 0- 3- 0],2-0-0-0-0-1-0-3-0,10750257092.301186
2472,001101-0-3,[0- 0- 1- 1- 0- 1- 0- 3],0-0-0-1-1-0-1-0-3,10750173046.510689
2473,110001-0-1,[1- 1- 0- 0- 0- 1- 0- 1],0-1-1-0-0-0-1-0-1,10746645392.206951
2474,000001-2-0,[0- 0- 0- 0- 0- 1- 2- 0],0-0-0-0-0-0-1-2-0,10743401297.681166
2475,330033-0-0,[3- 3- 0- 0- 3- 3- 0- 0],2-1-1-0-0-1-1-0-0,10740047732.90475
2476,000001-0-2,[0- 0- 0- 0- 0- 1- 0- 2],0-0-0-0-0-0-1-0-2,10739672063.037067
2477,030000-2-0,[0- 3- 0- 0- 0- 0- 2- 0],2-0-1-0-0-0-0-2-0,10736751256.830835
2478,033003-0-3,[0- 3- 3- 0- 0- 3- 0- 3],2-0-1-1-0-0-1-0-3,10736413096.182178
2479,220020-1-0,[2- 2- 0- 0- 2- 0- 1- 0],1-1-1-0-0-1-0-1-0,10735422282.144539
2480,000303-0-2,[0- 0- 0- 3- 0- 3- 0- 2],2-0-0-0-1-0-1-0-2,10731966039.819603
2481,200002-0-1,[2- 0- 0- 0- 0- 2- 0- 1],1-1-0-0-0-0-1-0-1,10723472649.158367
2482,002020-0-2,[0- 0- 2- 0- 2- 0- 0- 2],1-0-0-1-0-1-0-0-2,10721752933.912989
2483,200220-0-3,[2- 0- 0- 2- 2- 0- 0- 3],1-1-0-0-1-1-0-0-3,10713214089.824863
2484,033030-0-2,[0- 3- 3- 0- 3- 0- 0- 2],2-0-1-1-0-1-0-0-2,10712893587.872272
2485,022020-0-3,[0- 2- 2- 0- 2- 0- 0- 3],1-0-1-1-0-1-0-0-3,10706109741.685759
2486,011000-3-0,[0- 1- 1- 0- 0- 0- 3- 0],0-0-1-1-0-0-0-3-0,10704008332.386814
2487,330330-0-3,[3- 3- 0- 3- 3- 0- 0- 3],2-1-1-0-1-1-0-0-3,10701127049.41841
2488,033330-0-3,[0- 3- 3- 3- 3- 0- 0- 3],2-0-1-1-1-1-0-0-3,10699969412.57762
2489,111010-0-3,[1- 1- 1- 0- 1- 0- 0- 3],0-1-1-1-0-1-0-0-3,10696614908.236296
2490,022200-1-0,[0- 2- 2- 2- 0- 0- 1- 0],1-0-1-1-1-0-0-1-0,10695128915.278084
2491,101101-0-1,[1- 0- 1- 1- 0- 1- 0- 1],0-1-0-1-1-0-1-0-1,10694933622.882118
2492,000220-0-2,[0- 0- 0- 2- 2- 0- 0- 2],1-0-0-0-1-1-0-0-2,10692290169.879831
2493,001010-0-3,[0- 0- 1- 0- 1- 0- 0- 3],0-0-0-1-0-1-0-0-3,10692108117.064665
2494,003003-0-2,[0- 0- 3- 0- 0- 3- 0- 2],2-0-0-1-0-0-1-0-2,10687838120.888252
2495,202220-1-0,[2- 0- 2- 2- 2- 0- 1- 0],1-1-0-1-1-1-0-1-0,10683378985.818764
2496,010000-0-2,[0- 1- 0- 0- 0- 0- 0- 2],0-0-1-0-0-0-0-0-2,10682594975.310429
2497,101000-3-0,[1- 0- 1- 0- 0- 0- 3- 0],0-1-0-1-0-0-0-3-0,10669257129.465006
2498,000220-0-3,[0- 0- 0- 2- 2- 0- 0- 3],1-0-0-0-1-1-0-0-3,10668959762.642769
2499,000001-3-0,[0- 0- 0- 0- 0- 1- 3- 0],0-0-0-0-0-0-1-3-0,10666281671.693245
2500,101001-0-2,[1- 0- 1- 0- 0- 1- 0- 2],0-1-0-1-0-0-1-0-2,10665717016.476847
2501,111000-0-1,[1- 1- 1- 0- 0- 0- 0- 1],0-1-1-1-0-0-0-0-1,10665266013.248196
2502,000300-1-3,[0- 0- 0- 3- 0- 0- 1- 3],2-0-0-0-1-0-0-1-3,10664861184.84596
2503,110010-0-3,[1- 1- 0- 0- 1- 0- 0- 3],0-1-1-0-0-1-0-0-3,10664475438.485378
2504,220020-0-3,[2- 2- 0- 0- 2- 0- 0- 3],1-1-1-0-0-1-0-0-3,10664032017.951765
2505,220202-0-0,[2- 2- 0- 2- 0- 2- 0- 0],1-1-1-0-1-0-1-0-0,10660407936.103676
2506,303030-0-2,[3- 0- 3- 0- 3- 0- 0- 2],2-1-0-1-0-1-0-0-2,10639587310.019846
2507,011001-0-3,[0- 1- 1- 0- 0- 1- 0- 3],0-0-1-1-0-0-1-0-3,10627717798.798084
2508,101100-0-2,[1- 0- 1- 1- 0- 0- 0- 2],0-1-0-1-1-0-0-0-2,10625107340.510248
2509,101011-0-3,[1- 0- 1- 0- 1- 1- 0- 3],0-1-0-1-0-1-1-0-3,10624251788.880833
2510,110000-3-0,[1- 1- 0- 0- 0- 0- 3- 0],0-1-1-0-0-0-0-3-0,10623702934.344746
2511,030003-1-0,[0- 3- 0- 0- 0- 3- 1- 0],2-0-1-0-0-0-1-1-0,10621000195.118223
2512,003000-1-1,[0- 0- 3- 0- 0- 0- 1- 1],2-0-0-1-0-0-0-1-1,10620036905.885862
2513,000110-3-0,[0- 0- 0- 1- 1- 0- 3- 0],0-0-0-0-1-1-0-3-0,10617454688.608835
2514,303003-0-3,[3- 0- 3- 0- 0- 3- 0- 3],2-1-0-1-0-0-1-0-3,10602629867.528023
2515,100001-0-2,[1- 0- 0- 0- 0- 1- 0- 2],0-1-0-0-0-0-1-0-2,10601717790.412651
2516,111001-0-3,[1- 1- 1- 0- 0- 1- 0- 3],0-1-1-1-0-0-1-0-3,10598614865.754484
2517,000101-0-3,[0- 0- 0- 1- 0- 1- 0- 3],0-0-0-0-1-0-1-0-3,10594962621.256758
2518,000020-2-0,[0- 0- 0- 0- 2- 0- 2- 0],1-0-0-0-0-1-0-2-0,10593957019.940487
2519,011110-1-0,[0- 1- 1- 1- 1- 0- 1- 0],0-0-1-1-1-1-0-1-0,10585478510.33062
2520,333300-0-3,[3- 3- 3- 3- 0- 0- 0- 3],2-1-1-1-1-0-0-0-3,10583594838.157484
2521,020000-3-0,[0- 2- 0- 0- 0- 0- 3- 0],1-0-1-0-0-0-0-3-0,10578971443.101795
2522,101101-1-0,[1- 0- 1- 1- 0- 1- 1- 0],0-1-0-1-1-0-1-1-0,10577868668.89185
2523,010111-1-0,[0- 1- 0- 1- 1- 1- 1- 0],0-0-1-0-1-1-1-1-0,10574435320.226448
2524,000020-3-0,[0- 0- 0- 0- 2- 0- 3- 0],1-0-0-0-0-1-0-3-0,10561144114.832117
2525,000100-0-2,[0- 0- 0- 1- 0- 0- 0- 2],0-0-0-0-1-0-0-0-2,10559923027.379688
2526,000333-1-0,[0- 0- 0- 3- 3- 3- 1- 0],2-0-0-0-1-1-1-1-0,10558519260.693035
2527,030003-0-1,[0- 3- 0- 0- 0- 3- 0- 1],2-0-1-0-0-0-1-0-1,10555224151.458338
2528,030000-1-3,[0- 3- 0- 0- 0- 0- 1- 3],2-0-1-0-0-0-0-1-3,10554599009.039314
2529,003000-1-3,[0- 0- 3- 0- 0- 0- 1- 3],2-0-0-1-0-0-0-1-3,10550600758.408445
2530,200000-3-0,[2- 0- 0- 0- 0- 0- 3- 0],1-1-0-0-0-0-0-3-0,10549782420.036798
2531,202220-0-1,[2- 0- 2- 2- 2- 0- 0- 1],1-1-0-1-1-1-0-0-1,10548171794.738522
2532,330030-1-0,[3- 3- 0- 0- 3- 0- 1- 0],2-1-1-0-0-1-0-1-0,10546208397.194576
2533,011100-0-1,[0- 1- 1- 1- 0- 0- 0- 1],0-0-1-1-1-0-0-0-1,10537739976.421902
2534,202222-0-0,[2- 0- 2- 2- 2- 2- 0- 0],1-1-0-1-1-1-1-0-0,10534198292.823753
2535,220020-0-1,[2- 2- 0- 0- 2- 0- 0- 1],1-1-1-0-0-1-0-0-1,10534192479.894957
2536,100011-0-3,[1- 0- 0- 0- 1- 1- 0- 3],0-1-0-0-0-1-1-0-3,10524968826.748856
2537,000100-2-0,[0- 0- 0- 1- 0- 0- 2- 0],0-0-0-0-1-0-0-2-0,10523990838.942625
2538,001010-3-0,[0- 0- 1- 0- 1- 0- 3- 0],0-0-0-1-0-1-0-3-0,10521760854.542582
2539,000010-2-0,[0- 0- 0- 0- 1- 0- 2- 0],0-0-0-0-0-1-0-2-0,10518482195.679426
2540,001101-0-1,[0- 0- 1- 1- 0- 1- 0- 1],0-0-0-1-1-0-1-0-1,10516214137.536938
2541,010000-2-0,[0- 1- 0- 0- 0- 0- 2- 0],0-0-1-0-0-0-0-2-0,10503599880.501154
2542,200020-0-2,[2- 0- 0- 0- 2- 0- 0- 2],1-1-0-0-0-1-0-0-2,10498889386.338572
2543,000330-1-1,[0- 0- 0- 3- 3- 0- 1- 1],2-0-0-0-1-1-0-1-1,10494579378.04832
2544,222200-0-3,[2- 2- 2- 2- 0- 0- 0- 3],1-1-1-1-1-0-0-0-3,10493684073.863998
2545,022202-0-0,[0- 2- 2- 2- 0- 2- 0- 0],1-0-1-1-1-0-1-0-0,10490052794.161919
2546,101101-0-3,[1- 0- 1- 1- 0- 1- 0- 3],0-1-0-1-1-0-1-0-3,10486547730.02074
2547,000333-0-1,[0- 0- 0- 3- 3- 3- 0- 1],2-0-0-0-1-1-1-0-1,10482514638.298428
2548,101011-1-0,[1- 0- 1- 0- 1- 1- 1- 0],0-1-0-1-0-1-1-1-0,10479463896.196125
2549,111000-1-0,[1- 1- 1- 0- 0- 0- 1- 0],0-1-1-1-0-0-0-1-0,10474253409.876385
2550,100100-0-2,[1- 0- 0- 1- 0- 0- 0- 2],0-1-0-0-1-0-0-0-2,10470735122.718346
2551,003330-0-2,[0- 0- 3- 3- 3- 0- 0- 2],2-0-0-1-1-1-0-0-2,10469538161.578455
2552,110001-1-0,[1- 1- 0- 0- 0- 1- 1- 0],0-1-1-0-0-0-1-1-0,10467749989.236324
2553,022020-0-1,[0- 2- 2- 0- 2- 0- 0- 1],1-0-1-1-0-1-0-0-1,10462598175.92941
2554,002200-0-2,[0- 0- 2- 2- 0- 0- 0- 2],1-0-0-1-1-0-0-0-2,10454359114.918283
2555,001000-2-0,[0- 0- 1- 0- 0- 0- 2- 0],0-0-0-1-0-0-0-2-0,10453374649.53964
2556,303300-1-0,[3- 0- 3- 3- 0- 0- 1- 0],2-1-0-1-1-0-0-1-0,10448959342.010677
2557,010101-0-1,[0- 1- 0- 1- 0- 1- 0- 1],0-0-1-0-1-0-1-0-1,10446756363.135693
2558,101011-0-1,[1- 0- 1- 0- 1- 1- 0- 1],0-1-0-1-0-1-1-0-1,10440922680.751488
2559,002000-2-0,[0- 0- 2- 0- 0- 0- 2- 0],1-0-0-1-0-0-0-2-0,10435572061.00497
2560,020020-0-3,[0- 2- 0- 0- 2- 0- 0- 3],1-0-1-0-0-1-0-0-3,10431520589.323978
2561,003000-3-0,[0- 0- 3- 0- 0- 0- 3- 0],2-0-0-1-0-0-0-3-0,10426996898.428673
2562,110001-0-3,[1- 1- 0- 0- 0- 1- 0- 3],0-1-1-0-0-0-1-0-3,10424000195.186588
2563,100111-0-1,[1- 0- 0- 1- 1- 1- 0- 1],0-1-0-0-1-1-1-0-1,10423972062.665611
2564,010001-0-3,[0- 1- 0- 0- 0- 1- 0- 3],0-0-1-0-0-0-1-0-3,10405559732.027924
2565,100010-0-3,[1- 0- 0- 0- 1- 0- 0- 3],0-1-0-0-0-1-0-0-3,10403341251.950422
2566,011010-0-1,[0- 1- 1- 0- 1- 0- 0- 1],0-0-1-1-0-1-0-0-1,10386581229.755993
2567,000000-0-2,[0- 0- 0- 0- 0- 0- 0- 2],0-0-0-0-0-0-0-0-2,10381609542.946339
2568,100101-0-3,[1- 0- 0- 1- 0- 1- 0- 3],0-1-0-0-1-0-1-0-3,10379481595.830711
2569,000030-1-1,[0- 0- 0- 0- 3- 0- 1- 1],2-0-0-0-0-1-0-1-1,10378806376.651487
2570,303303-0-0,[3- 0- 3- 3- 0- 3- 0- 0],2-1-0-1-1-0-1-0-0,10377143574.26019
2571,000330-2-0,[0- 0- 0- 3- 3- 0- 2- 0],2-0-0-0-1-1-0-2-0,10373334762.769314
2572,100111-1-0,[1- 0- 0- 1- 1- 1- 1- 0],0-1-0-0-1-1-1-1-0,10362907798.376774
2573,330030-0-3,[3- 3- 0- 0- 3- 0- 0- 3],2-1-1-0-0-1-0-0-3,10355468294.450787
2574,202002-0-3,[2- 0- 2- 0- 0- 2- 0- 3],1-1-0-1-0-0-1-0-3,10351482544.94942
2575,033000-0-2,[0- 3- 3- 0- 0- 0- 0- 2],2-0-1-1-0-0-0-0-2,10343109746.789852
2576,000200-2-0,[0- 0- 0- 2- 0- 0- 2- 0],1-0-0-0-1-0-0-2-0,10342099998.553875
2577,303330-1-0,[3- 0- 3- 3- 3- 0- 1- 0],2-1-0-1-1-1-0-1-0,10339064703.052814
2578,033300-0-1,[0- 3- 3- 3- 0- 0- 0- 1],2-0-1-1-1-0-0-0-1,10327530904.510479
2579,200200-0-2,[2- 0- 0- 2- 0- 0- 0- 2],1-1-0-0-1-0-0-0-2,10325104972.013483
2580,001000-0-2,[0- 0- 1- 0- 0- 0- 0- 2],0-0-0-1-0-0-0-0-2,10323569670.38718
2581,020000-0-2,[0- 2- 0- 0- 0- 0- 0- 2],1-0-1-0-0-0-0-0-2,10321392645.066029
2582,033303-0-0,[0- 3- 3- 3- 0- 3- 0- 0],2-0-1-1-1-0-1-0-0,10317812253.645153
2583,220022-0-0,[2- 2- 0- 0- 2- 2- 0- 0],1-1-1-0-0-1-1-0-0,10309148758.452934
2584,002000-3-0,[0- 0- 2- 0- 0- 0- 3- 0],1-0-0-1-0-0-0-3-0,10308638312.733942
2585,220200-0-3,[2- 2- 0- 2- 0- 0- 0- 3],1-1-1-0-1-0-0-0-3,10308412631.209913
2586,300330-0-2,[3- 0- 0- 3- 3- 0- 0- 2],2-1-0-0-1-1-0-0-2,10303206056.597483
2587,330330-1-0,[3- 3- 0- 3- 3- 0- 1- 0],2-1-1-0-1-1-0-1-0,10302180168.417198
2588,030003-0-3,[0- 3- 0- 0- 0- 3- 0- 3],2-0-1-0-0-0-1-0-3,10279563930.55922
2589,200002-0-3,[2- 0- 0- 0- 0- 2- 0- 3],1-1-0-0-0-0-1-0-3,10279522056.004387
2590,000030-2-0,[0- 0- 0- 0- 3- 0- 2- 0],2-0-0-0-0-1-0-2-0,10275094023.352797
2591,010011-0-1,[0- 1- 0- 0- 1- 1- 0- 1],0-0-1-0-0-1-1-0-1,10272634121.505383
2592,000200-3-0,[0- 0- 0- 2- 0- 0- 3- 0],1-0-0-0-1-0-0-3-0,10271965596.605936
2593,003330-0-3,[0- 0- 3- 3- 3- 0- 0- 3],2-0-0-1-1-1-0-0-3,10269203384.720833
2594,303300-0-1,[3- 0- 3- 3- 0- 0- 0- 1],2-1-0-1-1-0-0-0-1,10256933894.493313
2595,100000-3-0,[1- 0- 0- 0- 0- 0- 3- 0],0-1-0-0-0-0-0-3-0,10252079555.15641
2596,001011-0-1,[0- 0- 1- 0- 1- 1- 0- 1],0-0-0-1-0-1-1-0-1,10246207878.182598
2597,303000-0-2,[3- 0- 3- 0- 0- 0- 0- 2],2-1-0-1-0-0-0-0-2,10243270408.848976
2598,011001-1-0,[0- 1- 1- 0- 0- 1- 1- 0],0-0-1-1-0-0-1-1-0,10242704067.981258
2599,003000-2-0,[0- 0- 3- 0- 0- 0- 2- 0],2-0-0-1-0-0-0-2-0,10238787136.850386
2600,202200-1-0,[2- 0- 2- 2- 0- 0- 1- 0],1-1-0-1-1-0-0-1-0,10238006552.80457
2601,002002-0-3,[0- 0- 2- 0- 0- 2- 0- 3],1-0-0-1-0-0-1-0-3,10231718818.059639
2602,002002-0-1,[0- 0- 2- 0- 0- 2- 0- 1],1-0-0-1-0-0-1-0-1,10230542396.836391
2603,300003-0-3,[3- 0- 0- 0- 0- 3- 0- 3],2-1-0-0-0-0-1-0-3,10228261016.427473
2604,000202-0-1,[0- 0- 0- 2- 0- 2- 0- 1],1-0-0-0-1-0-1-0-1,10221196420.933575
2605,011100-0-3,[0- 1- 1- 1- 0- 0- 0- 3],0-0-1-1-1-0-0-0-3,10217540438.542988
2606,000100-3-0,[0- 0- 0- 1- 0- 0- 3- 0],0-0-0-0-1-0-0-3-0,10211248630.78727
2607,000001-0-3,[0- 0- 0- 0- 0- 1- 0- 3],0-0-0-0-0-0-1-0-3,10209592954.139797
2608,000022-0-1,[0- 0- 0- 0- 2- 2- 0- 1],1-0-0-0-0-1-1-0-1,10207684012.295986
2609,022020-1-0,[0- 2- 2- 0- 2- 0- 1- 0],1-0-1-1-0-1-0-1-0,10207357103.904228
2610,033030-0-3,[0- 3- 3- 0- 3- 0- 0- 3],2-0-1-1-0-1-0-0-3,10203535213.544872
2611,110100-0-3,[1- 1- 0- 1- 0- 0- 0- 3],0-1-1-0-1-0-0-0-3,10193579446.858646
2612,330030-0-1,[3- 3- 0- 0- 3- 0- 0- 1],2-1-1-0-0-1-0-0-1,10193332137.951122
2613,110110-1-0,[1- 1- 0- 1- 1- 0- 1- 0],0-1-1-0-1-1-0-1-0,10193061071.603035
2614,010100-0-3,[0- 1- 0- 1- 0- 0- 0- 3],0-0-1-0-1-0-0-0-3,10189219014.00502
2615,333000-0-3,[3- 3- 3- 0- 0- 0- 0- 3],2-1-1-1-0-0-0-0-3,10189000735.90472
2616,002020-0-3,[0- 0- 2- 0- 2- 0- 0- 3],1-0-0-1-0-1-0-0-3,10186320334.371124
2617,000020-0-2,[0- 0- 0- 0- 2- 0- 0- 2],1-0-0-0-0-1-0-0-2,10184023038.75393
2618,033300-1-0,[0- 3- 3- 3- 0- 0- 1- 0],2-0-1-1-1-0-0-1-0,10177259947.541668
2619,100000-0-2,[1- 0- 0- 0- 0- 0- 0- 2],0-1-0-0-0-0-0-0-2,10177002015.638752
2620,000303-0-3,[0- 0- 0- 3- 0- 3- 0- 3],2-0-0-0-1-0-1-0-3,10176011318.078184
2621,030330-0-3,[0- 3- 0- 3- 3- 0- 0- 3],2-0-1-0-1-1-0-0-3,10171551583.398998
2622,022200-0-3,[0- 2- 2- 2- 0- 0- 0- 3],1-0-1-1-1-0-0-0-3,10164470064.895887
2623,000002-0-3,[0- 0- 0- 0- 0- 2- 0- 3],1-0-0-0-0-0-1-0-3,10163599639.026106
2624,110110-0-1,[1- 1- 0- 1- 1- 0- 0- 1],0-1-1-0-1-1-0-0-1,10161859655.647001
2625,000020-0-3,[0- 0- 0- 0- 2- 0- 0- 3],1-0-0-0-0-1-0-0-3,10160152609.584013
2626,030330-0-2,[0- 3- 0- 3- 3- 0- 0- 2],2-0-1-0-1-1-0-0-2,10157180555.28487
2627,300330-0-3,[3- 0- 0- 3- 3- 0- 0- 3],2-1-0-0-1-1-0-0-3,10149546465.605247
2628,110100-0-1,[1- 1- 0- 1- 0- 0- 0- 1],0-1-1-0-1-0-0-0-1,10145272471.907345
2629,022000-0-1,[0- 2- 2- 0- 0- 0- 0- 1],1-0-1-1-0-0-0-0-1,10144210187.075848
2630,000022-1-0,[0- 0- 0- 0- 2- 2- 1- 0],1-0-0-0-0-1-1-1-0,10143144418.87193
2631,303330-0-1,[3- 0- 3- 3- 3- 0- 0- 1],2-1-0-1-1-1-0-0-1,10136509207.733192
2632,330330-0-1,[3- 3- 0- 3- 3- 0- 0- 1],2-1-1-0-1-1-0-0-1,10128555966.880232
2633,001000-3-0,[0- 0- 1- 0- 0- 0- 3- 0],0-0-0-1-0-0-0-3-0,10127777653.57267
2634,000300-3-0,[0- 0- 0- 3- 0- 0- 3- 0],2-0-0-0-1-0-0-3-0,10125025659.519218
2635,000010-3-0,[0- 0- 0- 0- 1- 0- 3- 0],0-0-0-0-0-1-0-3-0,10121387595.473015
2636,101110-1-0,[1- 0- 1- 1- 1- 0- 1- 0],0-1-0-1-1-1-0-1-0,10121288846.970203
2637,000100-0-3,[0- 0- 0- 1- 0- 0- 0- 3],0-0-0-0-1-0-0-0-3,10115697399.686733
2638,220002-0-0,[2- 2- 0- 0- 0- 2- 0- 0],1-1-1-0-0-0-1-0-0,10111434356.754864
2639,111100-0-3,[1- 1- 1- 1- 0- 0- 0- 3],0-1-1-1-1-0-0-0-3,10110000793.116362
2640,333300-0-0,[3- 3- 3- 3- 0- 0- 0- 0],2-1-1-1-1-0-0-0-0,10096539238.749874
2641,000003-0-2,[0- 0- 0- 0- 0- 3- 0- 2],2-0-0-0-0-0-1-0-2,10093182369.355839
2642,101110-0-1,[1- 0- 1- 1- 1- 0- 0- 1],0-1-0-1-1-1-0-0-1,10090167402.3628
2643,330300-0-3,[3- 3- 0- 3- 0- 0- 0- 3],2-1-1-0-1-0-0-0-3,10085848208.641476
2644,101010-0-3,[1- 0- 1- 0- 1- 0- 0- 3],0-1-0-1-0-1-0-0-3,10081997259.022285
2645,011100-1-0,[0- 1- 1- 1- 0- 0- 1- 0],0-0-1-1-1-0-0-1-0,10079336121.892971
2646,303030-0-3,[3- 0- 3- 0- 3- 0- 0- 3],2-1-0-1-0-1-0-0-3,10075133342.365593
2647,022022-0-0,[0- 2- 2- 0- 2- 2- 0- 0],1-0-1-1-0-1-1-0-0,10068994750.733833
2648,110000-0-1,[1- 1- 0- 0- 0- 0- 0- 1],0-1-1-0-0-0-0-0-1,10066599400.856455
2649,033330-0-1,[0- 3- 3- 3- 3- 0- 0- 1],2-0-1-1-1-1-0-0-1,10055198834.491072
2650,202200-0-1,[2- 0- 2- 2- 0- 0- 0- 1],1-1-0-1-1-0-0-0-1,10054008422.844383
2651,000300-1-1,[0- 0- 0- 3- 0- 0- 1- 1],2-0-0-0-1-0-0-1-1,10045913291.025175
2652,000033-1-0,[0- 0- 0- 0- 3- 3- 1- 0],2-0-0-0-0-1-1-1-0,10044858860.67884
2653,000000-2-0,[0- 0- 0- 0- 0- 0- 2- 0],0-0-0-0-0-0-0-2-0,10044659791.957012
2654,010000-3-0,[0- 1- 0- 0- 0- 0- 3- 0],0-0-1-0-0-0-0-3-0,10044242541.984905
2655,202020-0-3,[2- 0- 2- 0- 2- 0- 0- 3],1-1-0-1-0-1-0-0-3,10042400543.629353
2656,200020-0-3,[2- 0- 0- 0- 2- 0- 0- 3],1-1-0-0-0-1-0-0-3,10039873309.91478
2657,001001-0-3,[0- 0- 1- 0- 0- 1- 0- 3],0-0-0-1-0-0-1-0-3,10038800014.64012
2658,033330-1-0,[0- 3- 3- 3- 3- 0- 1- 0],2-0-1-1-1-1-0-1-0,10030318065.38987
2659,202000-0-2,[2- 0- 2- 0- 0- 0- 0- 2],1-1-0-1-0-0-0-0-2,10014122852.099924
2660,001110-0-1,[0- 0- 1- 1- 1- 0- 0- 1],0-0-0-1-1-1-0-0-1,10010299757.06425
2661,110100-1-0,[1- 1- 0- 1- 0- 0- 1- 0],0-1-1-0-1-0-0-1-0,10009965290.506695
2662,002002-1-0,[0- 0- 2- 0- 0- 2- 1- 0],1-0-0-1-0-0-1-1-0,10003921800.37144
2663,300030-0-2,[3- 0- 0- 0- 3- 0- 0- 2],2-1-0-0-0-1-0-0-2,10000705677.17118
2664,303000-1-0,[3- 0- 3- 0- 0- 0- 1- 0],2-1-0-1-0-0-0-1-0,9977402517.670769
2665,110010-1-0,[1- 1- 0- 0- 1- 0- 1- 0],0-1-1-0-0-1-0-1-0,9977020080.99699
2666,000000-0-3,[0- 0- 0- 0- 0- 0- 0- 3],0-0-0-0-0-0-0-0-3,9970070853.081871
2667,110010-0-1,[1- 1- 0- 0- 1- 0- 0- 1],0-1-1-0-0-1-0-0-1,9960911329.82388
2668,000202-1-0,[0- 0- 0- 2- 0- 2- 1- 0],1-0-0-0-1-0-1-1-0,9957496198.018307
2669,001101-1-0,[0- 0- 1- 1- 0- 1- 1- 0],0-0-0-1-1-0-1-1-0,9938432352.903316
2670,111111-0-0,[1- 1- 1- 1- 1- 1- 0- 0],0-1-1-1-1-1-1-0-0,9928673640.068996
2671,300300-0-2,[3- 0- 0- 3- 0- 0- 0- 2],2-1-0-0-1-0-0-0-2,9925088262.284035
2672,200000-0-2,[2- 0- 0- 0- 0- 0- 0- 2],1-1-0-0-0-0-0-0-2,9917474548.835747
2673,020200-0-3,[0- 2- 0- 2- 0- 0- 0- 3],1-0-1-0-1-0-0-0-3,9911561946.145214
2674,001100-0-3,[0- 0- 1- 1- 0- 0- 0- 3],0-0-0-1-1-0-0-0-3,9910242515.588102
2675,030300-0-2,[0- 3- 0- 3- 0- 0- 0- 2],2-0-1-0-1-0-0-0-2,9908400563.825382
2676,101000-0-2,[1- 0- 1- 0- 0- 0- 0- 2],0-1-0-1-0-0-0-0-2,9897202009.228996
2677,010011-1-0,[0- 1- 0- 0- 1- 1- 1- 0],0-0-1-0-0-1-1-1-0,9895800408.99052
2678,000111-0-1,[0- 0- 0- 1- 1- 1- 0- 1],0-0-0-0-1-1-1-0-1,9891585540.416683
2679,222000-0-3,[2- 2- 2- 0- 0- 0- 0- 3],1-1-1-1-0-0-0-0-3,9890087294.78642
2680,011000-0-1,[0- 1- 1- 0- 0- 0- 0- 1],0-0-1-1-0-0-0-0-1,9887956834.434046
2681,003003-0-3,[0- 0- 3- 0- 0- 3- 0- 3],2-0-0-1-0-0-1-0-3,9883935870.73741
2682,010101-1-0,[0- 1- 0- 1- 0- 1- 1- 0],0-0-1-0-1-0-1-1-0,9881002931.31741
2683,010000-0-3,[0- 1- 0- 0- 0- 0- 0- 3],0-0-1-0-0-0-0-0-3,9872231045.20619
2684,030030-0-2,[0- 3- 0- 0- 3- 0- 0- 2],2-0-1-0-0-1-0-0-2,9868863265.851055
2685,333000-0-0,[3- 3- 3- 0- 0- 0- 0- 0],2-1-1-1-0-0-0-0-0,9851432948.314878
2686,303030-1-0,[3- 0- 3- 0- 3- 0- 1- 0],2-1-0-1-0-1-0-1-0,9839383299.794537
2687,011010-1-0,[0- 1- 1- 0- 1- 0- 1- 0],0-0-1-1-0-1-0-1-0,9839023538.832836
2688,003003-1-0,[0- 0- 3- 0- 0- 3- 1- 0],2-0-0-1-0-0-1-1-0,9837114391.710655
